135_00	惟有一个老妇人和其余的人，没有获得拯救。
136_00	然后，我毁灭了别的许多人。
137_00	你们的确朝夕经过他们的遗迹，
138_00	难道你们不了解吗？
139_00	优努司确是使者。
140_00	当时，他逃到那只满载的船舶上。
141_00	他就拈阄，他却是失败的，
142_00	大鱼就吞了他，同时，他是应受谴责的。
143_00	假若不是常赞颂真主者，
144_00	他必葬身鱼腹，直到世人复活之日。
145_00	然后，我将他抛在旱地上，当时他是有病的。
146_00	我使一棵瓠瓜，长起来遮着他。
147_00	我曾派遣他去教化十多万民众。
148_00	他们便归信他，我使他们享乐至一定期。
149_00	你问他们吧！你的主有许多女儿，他们却有多少儿子呢？
150_00	还是我曾将众天神造成女性的，他们曾眼见我的创造呢？
151_00	真的，他们因为自己的悖谬，必定要说：
152_00	真主已生育了。他们确是说谎者。
153_00	难道他不要儿子，却要女儿吗？
154_00	你们有什么理由？你们怎么这样判断呢？
155_00	你们还不觉悟吗？
156_00	难道你们有一个明证吗？
157_00	拿出你们的经典来吧，倘若你们是诚实的！
158_00	他们妄言他与精灵之间，有姻亲关系。精灵确已知道他们将被拘禁
159_00	--超绝哉真主！他是超乎他们的叙述的，
160_00	--惟真主的纯洁的众仆，不被拘禁。
161_00	你们和你们所崇拜的，
162_00	绝不能把任何人引诱去崇拜他们，
163_00	除非是将入火狱的人。
164_00	（众天神说）：我们人人都有一个指定的地位，
165_00	我们必定是排班的，
166_00	我们必定是赞颂真主的。
167_00	他们的确常说：
168_00	假若我们有古人所遗留的教诲，
169_00	那末，我们必是真主的纯洁的仆人。
170_00	他们却不信真主，他们不久就知道了。
171_00	我对我所派遣的仆人们已有约在先了，
172_00	他们必定是被援助的，
173_00	我的军队，必定是胜利的。
174_00	你暂时退避他们吧！
175_00	你看着吧！他们不久就看见了。
176_00	难道他们要求我的刑罚早日实现吗？
177_00	我的刑罚一旦降于他们的庭院的时候，被警告者的早晨，真恶劣呀！
178_00	你暂时退避他们吧！
179_00	你看着吧！他们不久就看见了。
180_00	超绝哉你的主--尊荣的主宰！他是超乎他们的叙述的。
181_00	祝众使者平安！
182_00	一切赞颂，全归真主--全世界的主！
